date,births,deaths,pct_deaths,rolling_mean,washing_hands
1841-01-01,254,37,14.566929133858267,,No
1841-02-01,239,18,7.531380753138076,,No
1841-03-01,277,12,4.332129963898916,,No
1841-04-01,255,4,1.5686274509803921,,No
1841-05-01,255,2,0.7843137254901961,,No
1841-06-01,200,10,5.0,5.630563504560975,No
1841-07-01,190,16,8.421052631578947,4.6062507541810875,No
1841-08-01,222,3,1.3513513513513513,3.5762458538833,No
1841-09-01,213,4,1.8779342723004695,3.167213238616893,No
1841-10-01,236,26,11.016949152542372,4.741933522210556,No
1841-11-01,235,53,22.5531914893617,8.37007981618914,No
1842-01-01,307,64,20.846905537459286,11.01123073909902,No
1842-02-01,311,38,12.218649517684888,11.644163553450012,No
1842-03-01,264,27,10.227272727272728,13.123483782770242,No
1842-04-01,242,26,10.743801652892563,14.601128346202257,No
1842-05-01,310,10,3.225806451612903,13.30260456271401,No
1842-06-01,273,18,6.593406593406594,10.64264041338816,No
1842-07-01,231,48,20.77922077922078,10.631359620348409,No
1842-08-01,216,55,25.462962962962965,12.83874519456142,No
1842-09-01,223,41,18.385650224215247,14.198474777385174,No
1842-10-01,242,71,29.338842975206614,17.297648331104185,No
1842-11-01,209,48,22.966507177033492,20.587765118674284,No
1842-12-01,239,75,31.380753138075313,24.718989542785735,No
1843-01-01,272,52,19.11764705882353,24.44206058938619,No
1843-02-01,263,42,15.96958174904943,22.859830387067273,No
1843-03-01,266,33,12.406015037593985,21.863224522630393,No
1843-04-01,285,34,11.929824561403509,18.961721453663213,No
1843-05-01,246,15,6.097560975609756,16.150230420092587,No
1843-06-01,196,8,4.081632653061225,11.600377005923571,No
1843-07-01,191,1,0.5235602094240838,8.501362531023664,No
1843-08-01,193,3,1.5544041450777202,6.098832930361713,No
1843-09-01,221,5,2.262443438914027,4.408237663915053,No
1843-10-01,250,44,17.599999999999998,5.353266903681135,No
1843-11-01,252,18,7.142857142857142,5.527482931555699,No
1843-12-01,236,19,8.050847457627118,6.189018732316682,No
1844-01-01,244,37,15.163934426229508,8.629081101784253,No
1844-02-01,257,29,11.284046692607005,10.250688193039133,No
1844-03-01,276,47,17.02898550724638,12.711778537761191,No
1844-04-01,208,36,17.307692307692307,12.663060589043242,No
1844-05-01,240,14,5.833333333333333,12.444806620789274,No
1844-06-01,224,6,2.6785714285714284,11.549427282613324,No
1844-07-01,206,9,4.368932038834951,9.750260218047567,No
1844-08-01,269,17,6.319702602230483,8.922869536318146,No
1844-09-01,245,3,1.2244897959183674,6.2887869177634785,No
1844-10-01,248,8,3.225806451612903,3.9418059417502445,No
1844-11-01,245,27,11.020408163265307,4.806318413405574,No
1844-12-01,256,27,10.546875,6.117702341977002,No
1845-01-01,303,23,7.590759075907591,6.654673514822442,No
1845-02-01,274,13,4.744525547445255,6.39214400569157,No
1845-03-01,292,13,4.4520547945205475,6.9300715054586,No
1845-04-01,260,11,4.230769230769231,7.097565301984655,No
1845-05-01,296,13,4.391891891891892,5.992812590089085,No
1845-06-01,280,20,7.142857142857142,5.4254762805652765,No
1845-07-01,245,15,6.122448979591836,5.1807579311793175,No
1845-08-01,251,9,3.5856573705179287,4.987613235024763,No
1845-09-01,237,25,10.548523206751055,6.003691303729847,No
1845-10-01,283,42,14.840989399293287,7.7720613318171905,No
1845-11-01,265,29,10.943396226415095,8.863978720904392,No
1845-12-01,267,28,10.486891385767791,9.421317761389497,No
1846-01-01,336,45,13.392857142857142,10.63305245526705,No
1846-02-01,293,53,18.088737201365188,13.050232427074926,No
1846-03-01,311,48,15.434083601286176,13.86449249283078,No
1846-04-01,253,48,18.972332015810274,14.55304959558361,No
1846-05-01,305,41,13.442622950819672,14.969587382984372,No
1846-06-01,266,27,10.150375939849624,14.913501475331344,No
1846-07-01,252,33,13.095238095238097,14.863898300728172,No
1846-08-01,216,39,18.055555555555554,14.858368026426566,No
1846-09-01,271,39,14.391143911439114,14.68454474478539,No
1846-10-01,254,38,14.960629921259844,14.015927729026984,No
1846-11-01,297,32,10.774410774410773,13.571225699625503,No
1846-12-01,298,16,5.369127516778524,12.774350962446983,No
1847-01-01,311,10,3.215434083601286,11.127716960507515,No
1847-02-01,312,6,1.9230769230769231,8.438970521761076,No
1847-03-01,305,11,3.606557377049181,6.641539432696089,No
1847-04-01,312,57,18.269230769230766,7.192972907357909,No
1847-05-01,294,36,12.244897959183673,7.438054104820059,No
1847-06-01,268,6,2.2388059701492535,6.916333847048514,Yes
1847-07-01,250,3,1.2,6.5804281664483,Yes
1847-08-01,264,5,1.893939393939394,6.5755719115920455,Yes
1847-09-01,262,12,4.580152671755725,6.737837794043135,Yes
1847-10-01,278,11,3.9568345323741005,4.352438421233691,Yes
1847-11-01,246,11,4.471544715447155,3.0568795472776045,Yes
1847-12-01,273,8,2.93040293040293,3.1721457073198835,Yes
1848-01-01,283,10,3.53356890459364,3.5610738580854906,Yes
1848-02-01,291,2,0.6872852233676976,3.3599648296568745,Yes
1848-03-01,276,0,0.0,2.596606051030921,Yes
1848-04-01,305,2,0.6557377049180327,2.0464232464549093,Yes
1848-05-01,313,3,0.9584664536741214,1.46091020282607,Yes
1848-06-01,264,3,1.1363636363636365,1.161903653819521,Yes
1848-07-01,269,1,0.37174721189591076,0.6349333717032332,Yes
1848-08-01,261,0,0.0,0.5203858344752835,Yes
1848-09-01,312,3,0.9615384615384616,0.6806422447316938,Yes
1848-10-01,299,7,2.341137123745819,0.9615421478696581,Yes
1848-11-01,310,9,2.903225806451613,1.2856687066659067,Yes
1848-12-01,373,5,1.3404825737265416,1.3196885295597243,Yes
1849-01-01,403,9,2.2332506203473943,1.6299390976349717,Yes
1849-02-01,389,12,3.0848329048843186,2.1440779151156915,Yes
1849-03-01,406,20,4.926108374384237,2.8048395672566535,Yes
